id;description;sort_order;date_added;date_modified;status
1;sweetly yowza;11026;2025-09-16;2025-09-16;AVAILABLE
2;unwritten;10374;2025-09-15;2025-09-15;RESTRICTED
3;separately;10958;2025-09-15;2025-09-15;AVAILABLE
4;broken;20174;2025-09-15;2025-09-15;AVAILABLE
5;for hm average;507;2025-09-15;2025-09-15;AVAILABLE
6;neatly curiously avaricious;10535;2025-09-15;2025-09-15;DISABLED
7;apud finally above;19535;2025-09-15;2025-09-15;AVAILABLE
8;cleverly goodwill char;4406;2025-09-15;2025-09-15;RESTRICTED
9;unabashedly furthermore;15021;2025-09-15;2025-09-16;DISABLED
10;purple these meh;7191;2025-09-15;2025-09-15;RESTRICTED
