id;title;keywords;description;rating;price;image;image_content_type;date_added;date_modified
1;unzip eek hence;immense urban;hourly lowball besides;16175;11987.24;../fake-data/blob/hipster.png;image/png;2025-09-15;2025-09-15
2;wry growing;nervous up upon;truthfully swing;7275;6374.7;../fake-data/blob/hipster.png;image/png;2025-09-15;2025-09-15
3;whether round seafood;but salty;delete till;28662;30359.57;../fake-data/blob/hipster.png;image/png;2025-09-15;2025-09-15
4;after fortunately upset;before;adrenalin commercial;4422;10928.89;../fake-data/blob/hipster.png;image/png;2025-09-15;2025-09-15
5;ick supposing;beside condense;opposite glimmer search;31467;4301.58;../fake-data/blob/hipster.png;image/png;2025-09-15;2025-09-15
6;openly barring;baptise um to;sidetrack excited shovel;1577;1314.47;../fake-data/blob/hipster.png;image/png;2025-09-15;2025-09-15
7;next;vivaciously yuck who;brr surprisingly;523;11814.51;../fake-data/blob/hipster.png;image/png;2025-09-15;2025-09-15
8;section within;once cloudy regularly;pfft new;6601;32540.38;../fake-data/blob/hipster.png;image/png;2025-09-15;2025-09-15
9;lively commonly;quarrelsomely um;hydrant;12152;14571.04;../fake-data/blob/hipster.png;image/png;2025-09-15;2025-09-15
10;via phew indeed;whenever mmm knit;needily critical ick;30522;4565.68;../fake-data/blob/hipster.png;image/png;2025-09-15;2025-09-15
